system   D            wsystem.c:583  maybe_parent_dir                 [   0.00062] Also searching C:\Users\polack-admin\Documents\Visual Studio 2012\Projects\SideShooter\
display  D   display_settings.c:191  debug_display_settings           [   0.01248] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01249] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01250] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01251] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01252] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01253] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01253] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01254] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01255] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01256] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01257] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01258] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01259] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01260] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01260] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01261] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01262] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01263] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01264] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01265] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01266] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01267] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01267] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01268] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01269] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01270] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01271] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01272] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01273] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01274] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01275] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01276] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01276] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01277] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01278] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01279] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01280] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01281] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01282] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01283] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01283] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01284] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01285] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01286] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01287] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01288] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01289] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01290] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01290] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01291] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01292] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01293] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01294] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01295] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01296] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01297] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01297] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01298] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01300] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01301] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01303] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01304] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.01305] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01307] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.01308] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01310] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01311] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01312] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01314] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01315] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01317] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01318] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01319] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01321] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01322] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01324] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01325] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01327] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01328] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01329] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01331] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01332] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01334] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01335] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01336] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01338] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01339] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01341] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01342] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01344] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01345] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01347] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01348] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01349] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01350] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01351] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01352] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01353] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01354] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01355] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01356] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01357] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01357] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01358] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01359] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01360] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01361] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01362] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01363] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01364] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01365] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01366] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01366] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01367] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01368] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01369] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01370] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01371] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01372] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01373] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01374] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.01375] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.01376] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.01377] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.01377] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.01378] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.01379] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.01380] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1838 d3d_create_display_internals     [   0.01384] Trying format 0 of 188.
d3d      I         d3d_disp.cpp:1516 d3d_display_thread_proc          [   0.01425] Chose a display format: 23
d3d      I         d3d_disp.cpp:1585 d3d_display_thread_proc          [   0.01427] Normal window.
d3d      I         d3d_disp.cpp:992  d3d_create_device                [   0.03260] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1057 d3d_create_device                [   0.03722] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1065 d3d_create_device                [   0.03725] Success
d3d      D         d3d_disp.cpp:1861 d3d_create_display_internals     [   0.03727] Resumed after wait.
d3d      I         d3d_disp.cpp:1886 d3d_create_display_internals     [   0.03731] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04884] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04887] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04888] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04889] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04890] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04891] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04891] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04892] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.04893] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.04894] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.04895] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.04896] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.04897] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.04923] added dtor for object 028FFE28, func 0F4E256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.06577] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.06581] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06612] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06614] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06614] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06615] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06616] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06617] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06618] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06619] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.06620] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.06621] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.06621] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.06623] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.06623] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.06666] added dtor for object 044E37F8, func 0F4E256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.07049] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.07089] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07314] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07317] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07318] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07318] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07319] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07320] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07321] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07322] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.07322] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.07323] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.07324] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.07325] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.07326] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.07348] added dtor for object 044E79D8, func 0F4E256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.08286] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.08290] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08321] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08323] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08324] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08325] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08325] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08326] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08328] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08329] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08330] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.08331] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.08332] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.08333] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.08333] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08350] added dtor for object 044EBB78, func 0F4E256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.08592] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.08596] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08624] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08626] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08627] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08628] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08628] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08629] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08630] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08631] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08631] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.08632] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.08633] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.08634] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.08635] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08654] added dtor for object 044EFCC8, func 0F4E256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.08873] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.08878] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08906] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08908] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08911] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08912] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08913] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08914] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08915] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08915] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.08916] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.08917] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.08918] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.08919] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.08920] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08934] added dtor for object 044F3E18, func 0F4E256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.09880] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.09886] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09927] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09929] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09930] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09931] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09932] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09933] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09934] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09935] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.09935] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.09936] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.09937] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.09938] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.09939] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09958] added dtor for object 044F7F68, func 0F4E256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.10241] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.10245] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10279] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10281] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10282] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10283] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10284] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10284] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10285] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10286] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10287] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.10288] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.10289] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.10290] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.10291] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10307] added dtor for object 044FC0B8, func 0F4E256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.10563] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.10568] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10616] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10619] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10620] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10622] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10623] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10624] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10625] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.10626] Fake format
